word,date

good,2019-2-9 13:21:49
good,2019-2-9 13:22:0
good,2019-2-9 13:22:4
thank,2019-2-9 13:36:24
Thank you,2019-2-9 13:38:38
frequency,2019-2-9 13:40:8
unique,2019-2-9 13:40:22
manual,2019-2-9 14:0:19
test,2019-2-9 14:23:22
